-48.707365362121756	-36.48628675496108
-47.453458339893515	-37.58345684048206
-46.19955131766528	-38.994104093294744
-44.63216753987999	-41.031705680690834
-43.22152213987323	-42.1288757662118
-41.654138362087934	-43.539523019024486
-39.93001620652412	-45.10690885548303
-37.89241729540324	-46.20407894100399
-36.79524865095353	-48.08494194475423
-35.227864873168244	-49.80906636485862
-33.66048109538295	-51.689929368608865
-32.24983569537619	-52.787099454129844
-30.682451917590896	-54.66796245788009
