-25.980300584235025	-25.828063067043047
-27.07685696939653	-24.53558201205712
-29.27119425829595	-24.22210484476544
-30.681839658302692	-23.438411926536133
-31.93574668053094	-22.654719008306884
-33.81660721387328	-21.557548922785912
-35.07051423610153	-20.6171174209108
-35.85420612499415	-19.206470168098107
-36.951374769443866	-17.325607164347858
-37.26485152500092	-15.601482744243498
-37.26485152500092	-13.720619740493234
-37.421589902779466	-12.153233904034721
-37.73506665833652	-10.272370900284457
-38.205281791672085	-8.548246480180069
-39.146324317631475	-6.470847986780157
