-29.24952258144519	-29.312397332732942
-30.968251593669606	-30.770713978954788
-33.62446915801645	-32.48944524863619
-35.96819053832249	-33.11443843761124
-38.15566382660812	-33.270686734855005
-41.12437757499576	-34.20817651831757
-43.155602771260995	-34.5206731128051
-45.96806842762823	-35.614411193511444
-46.280564611669035	-38.11438394941165
-46.280564611669035	-40.77060500255562
-44.40558750742421	-43.73932265018712
-42.21811421913858	-45.145557325380985
-39.71814474681214	-46.083047108843566
-36.12443863034289	-46.864288595062376
-32.999476789934846	-46.864288595062376
-29.718266857506393	-46.70804029781861
-26.593305017098345	-45.145557325380985
-23.624591268710702	-43.27057775845583
-21.280869888404666	-41.08310159704315
-20.96837370436387	-39.364370327361755
-19.24964469213944	-37.4893907604366
-16.749675219813	-35.77065949075521
