-12.37036059735685	-9.420835333950166
-13.151610859684212	-11.087536818844612
-14.08911117447704	-13.118831190753
-15.339111594200816	-15.462632389108833
-16.120361856528163	-17.49392676101722
-16.120361856528163	-19.525221132925623
-16.120361856528163	-22.494035984176335
-15.495361646666282	-24.83783718253217
-14.870361436804401	-27.49414520733545
-13.151610859684212	-29.525439579243837
-11.74536038749497	-31.712987364375948
-9.870359757909313	-33.90053514950806
-8.151609180789137	-35.77557610819272
-6.120358498738	-37.650617066877395
-4.089107816686877	-39.525658025562066
-1.1203568198429252	-41.24444557102301
1.3796440196046262	-42.025712637141616
3.8796448590521635	-42.65072629003651
6.379645698499701	-43.275739942931395
9.035896590412719	-44.21326042227373
